Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,66.4706558658864,93.5355421549347,5.114849689242787,3.4499999999999975e-2,8.292100925123235e-4,"cx0_1: 3.423e-2, cx0_14: 5.216e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q1,50.882108352404394,53.30376670312599,5.235698995890182,4.0000000000000036e-2,9.800658823740638e-4,"cx1_0: 3.423e-2, cx1_2: 1.118e-2, cx1_13: 4.696e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q2,77.57689115621389,107.7226448215378,5.038402834701749,2.400000000000002e-2,4.970265206199613e-4,"cx2_1: 1.118e-2, cx2_3: 2.202e-2, cx2_12: 3.451e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q3,73.62744770614492,15.80221510700739,4.894586623124814,6.65e-2,4.8199340181418897e-4,"cx3_2: 2.202e-2, cx3_4: 1.536e-2, cx3_11: 3.546e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q4,53.8218863614755,51.83688172184399,5.021567797629745,3.049999999999997e-2,7.199361091511695e-4,"cx4_3: 1.536e-2, cx4_5: 2.759e-2, cx4_10: 4.375e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q5,20.803303956512696,38.74167749750945,5.073079177827148,4.949999999999999e-2,2.395853684922933e-3,"cx5_4: 2.759e-2, cx5_6: 4.965e-2, cx5_9: 4.609e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q6,73.76116310275404,78.74675864523591,4.929356549857517,2.7000000000000024e-2,1.1293008211473341e-3,"cx6_5: 4.965e-2, cx6_8: 2.286e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q7,48.281869838226065,15.483550422624075,4.9826192081276455,2.6000000000000023e-2,1.5537595961463986e-3,"cx7_8: 2.104e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q8,101.82311885321143,109.38087677500576,4.751651282677945,5.349999999999999e-2,5.849428356163746e-4,"cx8_6: 2.286e-2, cx8_7: 2.104e-2, cx8_9: 3.074e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q9,36.165126399739925,58.790588726762344,4.973461848593492,6.899999999999995e-2,2.0869966959629212e-3,"cx9_5: 4.609e-2, cx9_8: 3.074e-2, cx9_10: 5.125e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q10,53.30872144790719,35.93161189888805,4.944808976830467,3.700000000000003e-2,3.1828658435390862e-3,"cx10_4: 4.375e-2, cx10_9: 5.125e-2, cx10_11: 3.511e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q11,38.128814828136456,72.88582026779183,4.997347274780907,5.2000000000000046e-2,6.8497217009301e-4,"cx11_3: 3.546e-2, cx11_10: 3.511e-2, cx11_12: 2.851e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q12,73.75848254304523,57.53478890434061,4.76341452291308,8.499999999999996e-2,1.2529032618112117e-3,"cx12_2: 3.451e-2, cx12_11: 2.851e-2, cx12_13: 3.227e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q13,30.84916667623153,31.33256103635377,4.974241509152673,8.899999999999997e-2,1.9009269963251472e-3,"cx13_1: 4.696e-2, cx13_12: 3.227e-2, cx13_14: 3.629e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
Q14,48.368184251807996,60.52270125554846,5.006782511571913,4.249999999999998e-2,6.507525738302036e-4,"cx14_0: 5.216e-2, cx14_13: 3.629e-2",Thu Aug 13 2020 14:35:59 GMT+0800 (中国标准时间)
